,시가,고가,저가,종가
20190221,6180,+6250,-6120,+6190
20190220,6110,6240,6110,+6180
20190219,6200,6200,6050,6160
20190218,6090,6170,6030,+6160
20190215,6160,6540,6030,-6030
20190214,6030,6200,5910,+6130
20190213,5830,6150,5830,+6030
20190212,5740,5850,5720,+5850
20190211,5750,5780,5710,+5770
20190208,5800,5870,5740,-5760
20190207,5780,5820,5720,5780
20190201,5850,5910,5690,-5780
20190131,5790,6000,5760,-5850
20190130,5900,6180,5900,+6070
20190129,6060,6150,5850,-5900
20190128,6140,6200,6060,+6160
20190125,6130,6220,5970,+6140
20190124,5950,6380,5900,+6020
20190123,5900,5960,5880,+5910
20190122,5900,5990,5840,+5900
20190121,5750,5900,5710,+5890
20190118,5730,5740,5630,+5700
20190117,5700,5790,5650,-5650
20190116,5680,5690,5570,-5670
20190115,5650,5700,5570,+5680
20190114,5750,5810,5570,-5650
20190111,5970,5970,5820,-5820
20190110,6020,6030,5850,-5880
20190109,6100,6100,5900,+6020
20190108,6900,6930,5960,-6000
