,시가,고가,저가
20171228,243931,246751,243726
20171227,242086,243668,241148
20171226,244767,245719,242734
20171222,243759,244457,242694
20171221,247134,247173,242983
20171220,247382,248450,247062
20171219,248783,249867,247049
20171218,248883,248883,247729
20171215,248839,249508,247599
20171214,248657,251461,246948
20171213,246242,248192,245770
20171212,247123,247143,245539
20171211,246781,247199,245798
20171208,247009,247317,245902
20171207,247955,248085,245240
20171206,251019,251047,247429
20171205,249073,251368,248715
20171204,248672,250167,247629
20171201,248892,248892,247275
20171130,250222,250632,247428
20171129,251726,252441,250866
20171128,251252,252106,250093
20171127,254474,254671,250669
20171124,253979,254433,253398
20171123,254234,254458,253245
20171122,254661,255322,253519
20171121,253385,253988,252596
20171120,253680,254262,252352
20171117,254605,255910,253399
20171116,252242,253828,251451
20171115,252560,252661,251176
20171114,253255,253295,252099
20171113,254827,255228,252720
20171110,254118,254761,253460
20171109,255993,255993,253654
20171108,253448,255874,253373
20171107,254830,255413,254067
20171106,255729,255990,252994
20171103,255837,255837,253972
20171102,256034,256163,254202
20171101,253597,255647,253583
20171031,250021,252832,249805
20171030,251387,251387,249742
20171027,248544,249915,247967
20171026,248960,249599,248063
20171025,249587,249741,248148
20171024,248931,249735,248717
20171023,249765,250033,248548
20171020,247730,248954,247688
20171019,248572,249094,246867
20171018,248153,249058,247567
20171017,248496,248788,247876
20171016,248317,248771,247024
20171013,247365,247973,246814
20171012,246170,247476,245948
20171011,244249,245816,243981
20171010,242563,244320,242110
20170929,237866,239447,237866
20170928,237410,237954,236567
20170927,237689,237718,236892
20170926,237162,238131,236534
20170925,238877,239244,237469
20170922,240435,240930,238181
20170921,241201,241513,240189
20170920,242082,242912,240578
20170919,241930,242205,241168
20170918,239058,241824,238965
20170915,236844,238607,236537
20170914,236554,237766,235843
20170913,237054,237361,236017
20170912,237202,237245,235912
20170911,235486,236972,235435
20170908,235019,235173,234063
20170907,232894,234979,232892
20170906,232484,232556,231431
20170905,234062,234062,231994
20170904,231689,234482,231689
20170901,236745,237025,235137
20170831,237396,237702,235529
20170830,236813,237229,236343
20170829,235620,236474,233285
20170828,237638,238346,236623
20170825,238147,238459,237267
20170824,237012,238272,236829
20170823,237653,237959,236071
20170822,236029,236902,235997
20170821,236338,236338,235196
20170818,234019,236243,234019
20170817,235161,236450,234674
20170816,235574,235846,234372
20170814,233602,234178,232780
20170811,232306,233512,231020
20170810,236095,237150,233906
20170809,237970,238753,236633
20170808,240468,241022,238394
20170807,240257,241213,239574
20170804,238974,240033,238345
20170803,242321,242355,237411
20170802,243194,243447,242418
20170801,239712,243262,239427
20170731,239202,240390,238839
20170728,243346,243438,239906
20170727,244328,244824,243549
20170726,244682,244696,242962
20170725,245076,245317,243714
20170724,245141,245153,244365
20170721,243878,245159,243784
20170720,243606,244369,242795
20170719,243009,243009,241964
20170718,242507,242616,241917
20170717,242776,243034,241991
20170714,241827,242148,241134
20170713,240576,242226,240292
20170712,239541,239928,239045
20170711,238642,239646,238269
20170710,238630,238987,237804
20170707,237629,238502,237283
20170706,239031,239250,238082
20170705,237701,239029,237563
20170704,239524,239802,237641
20170703,239766,239990,238455
20170630,238215,239181,238140
20170629,239681,240280,239357
20170628,238291,239089,238075
20170627,238676,239714,238347
20170626,238109,239070,237788
20170623,237154,238094,236917
20170622,236422,237039,235410
20170621,235823,235997,234619
20170620,238254,238254,236545
20170619,236402,237720,235684
20170616,236420,236537,235529
20170615,237336,237804,235037
20170614,238454,238729,236692
20170613,235892,237581,235892
20170612,237069,237470,235335
20170609,237122,238515,236781
20170608,236164,236552,234762
20170607,236496,236943,235671
20170605,237666,237683,236361
20170602,235377,237265,235345
20170601,234831,235131,233563
20170531,233925,235523,233825
20170530,235654,235869,233216
20170529,236259,237167,234425
20170526,234439,236480,234161
20170525,232549,234372,232126
20170524,231937,232254,231293
20170523,230869,232657,230315
20170522,230068,230521,229295
20170519,228678,229382,228213
20170518,227127,228885,226708
20170517,229156,229587,228301
20170516,230673,230900,228384
20170515,228823,229731,228060
20170512,229606,229651,228338
20170511,227847,229767,227166
20170510,229410,232322,226431
20170508,224561,229276,224423
20170504,222491,224124,222491
20170502,221361,222974,221287
20170428,221436,221704,220220
20170427,220172,221159,219976
20170426,220237,221061,220073
20170425,217570,219685,217411
20170424,217550,217789,216683
20170421,216124,216946,215664
20170420,213819,215043,213405
20170419,214498,214803,213382
20170418,215536,215536,213931
20170417,214087,215070,213870
20170414,213828,214161,212780
20170413,213064,214861,212587
20170412,212817,212982,212294
20170411,212923,213655,211782
20170410,214883,214883,212835
20170407,215487,215570,214251
20170406,215264,215383,214330
20170405,216190,216485,214698
20170404,216523,216694,215689
20170403,216604,217133,216126
20170331,216662,216693,215980
20170330,217018,217416,215916
20170329,217231,217231,216204
20170328,216658,216914,215771
20170327,216117,216525,215314
20170324,217136,217934,216334
20170323,217409,218242,217056
20170322,215997,217000,215896
20170321,216295,218199,216025
20170320,216032,216057,215151
20170317,215047,216459,214886
20170316,215498,215685,214301
20170315,212842,213538,212726
20170314,212712,213550,212442
20170313,210237,212288,210091
20170310,208867,210205,208231
20170309,209829,210008,209073
20170308,209227,210156,208819
20170307,208077,209679,207916
20170306,207320,208380,206768
20170303,209092,209159,207209
20170302,210519,211258,209631
20170228,208726,209441,208436
20170227,209547,209724,208408
20170224,210643,210783,209005
20170223,210615,210899,210311
20170222,210642,210898,210156
20170221,208597,210848,208500
20170220,208416,208559,207713
20170217,207257,208118,207257
20170216,208809,209259,207835
20170215,207360,208769,206989
20170214,207930,208159,206816
20170213,207494,207866,207036
20170210,207580,208074,207223
20170209,206715,207269,206212
20170208,207258,207258,205229
20170207,207780,207923,207105
20170206,208573,208837,207303
20170203,207590,207985,206405
20170202,208023,209245,206776
20170201,207531,208270,207397
20170131,207766,207997,206757
20170126,207477,208860,206850
20170125,207533,207772,206296
20170124,207022,207266,205859
20170123,206762,207380,205891
20170120,206554,207232,206400
20170119,208561,209102,206503
20170118,207377,207523,205835
20170117,206752,207880,206553
20170116,207703,208005,205893
20170113,207712,208094,207344
20170112,207769,208714,207389
20170111,204808,207970,204756
20170110,204330,204678,203950
20170109,205318,205318,204647
20170106,204811,205184,204566
20170105,204552,204650,203949
20170104,204629,204629,204061
20170103,203431,204407,202847
20170102,202223,203179,201568
20161229,202042,202657,201625
20161228,202186,202969,202086
20161227,204074,204443,203712
20161226,203833,203976,203480
20161223,203617,203771,203154
20161222,204161,204290,203399
20161221,204947,205346,203796
20161220,204487,204738,204081
20161219,203940,204603,203704
20161216,203735,204360,203323
20161215,202214,204062,202176
20161214,204307,204442,203118
20161213,202639,203599,202361
20161212,203195,203195,202097
20161209,202452,202683,201979
20161208,200831,203107,200757
20161207,199569,199762,198726
20161206,197651,199347,197651
20161205,196571,197124,196065
20161202,198014,198164,196642
20161201,198748,198908,197967
20161130,198038,198844,197709
20161129,197710,198253,197231
20161128,197658,198343,196678
20161125,197260,197845,196909
20161124,198511,198896,196850
20161123,198764,199665,198122
20161122,197607,198682,197405
20161121,197103,197623,196242
20161118,198307,198326,196813
20161117,197621,198387,196880
20161116,198082,198567,197663
20161115,197733,197894,196721
20161114,198293,198865,197427
20161111,198887,199405,198215
20161110,198985,200260,198326
20161109,200808,201523,193107
20161108,200956,201017,199433
20161107,199758,200174,199214
20161104,198387,198529,197657
20161103,197493,198882,197358
20161102,199541,199746,197634
20161101,200341,201051,199045
20161031,201129,201601,200595
20161028,202197,202685,201572
20161027,201824,202633,201566
20161026,203037,203037,200229
20161025,204229,204265,203125
20161024,203719,204774,203677
20161021,203940,204040,202979
20161020,204412,204825,203654
20161019,203618,205051,203590
20161018,202781,204072,202647
20161017,202893,203356,201181
20161014,202166,202876,202111
20161013,203399,203593,201489
20161012,202297,203702,202239
20161011,205329,206078,203051
20161010,204719,205873,203999
20161007,206595,206749,205160
20161006,206930,207043,205583
20161005,204337,205601,203687
20161004,205694,205925,205046
20160930,205425,205633,204277
20160929,206374,207209,206374
20160928,206257,206298,205168
20160927,203732,206489,203113
20160926,205276,206071,204270
20160923,205322,205735,204896
20160922,205031,206026,204880
20160921,202281,203599,202178
20160920,201450,202656,201025
20160919,199743,201945,199710
20160913,201193,201303,199758
20160912,200367,201104,199147
20160909,204894,204930,202946
20160908,206496,207066,205320
20160907,206881,207389,206188
20160906,205821,206777,205726
20160905,204919,206100,204749
20160902,203392,203918,203017
20160901,202296,203272,201647
20160831,203858,204117,202724
20160830,203860,204999,203676
20160829,202864,203463,202493
20160826,203674,203991,202768
20160825,204158,204600,203501
20160824,205082,205274,203953
20160823,204427,205143,204186
20160822,205437,205471,204051
20160819,205790,205930,204952
20160818,204815,205609,204190
20160817,204537,204829,203253
20160816,205600,206309,204773
20160812,205382,206084,204615
20160811,204264,204880,203525
20160810,204303,204936,203986
20160809,203352,204603,203218
20160808,202555,203114,201881
20160805,200623,201816,200437
20160804,200608,200648,199473
20160803,200868,200868,199300
20160802,202355,202610,201759
20160801,202471,203158,202457
20160729,202324,202899,201619
20160728,202907,202938,201436
20160727,202707,203069,202115
20160726,200940,202734,200825
20160725,201474,202069,200663
20160722,200537,201444,200266
20160721,201936,202055,200759
20160720,201340,201547,200387
20160719,202280,202322,201027
20160718,201822,202211,201230
20160715,201537,202234,201110
20160714,200412,200967,199794
20160713,200765,201360,199584
20160712,199113,199803,198645
20160711,197936,199095,197781
20160708,197228,197975,195691
20160707,196330,197649,195983
20160706,198011,198280,194433
20160705,199569,199677,198594
20160704,198944,199737,198511
20160701,197736,199398,197589
20160630,197154,197281,195928
20160629,194631,196621,194190
20160628,190771,193799,190749
20160627,190185,192687,190083
20160624,200155,200155,189275
20160623,198942,199071,198014
20160622,198178,199476,197937
20160621,197780,198387,197199
20160620,197443,198407,196956
20160617,196623,197054,194960
20160616,197153,197401,194480
20160615,197200,197587,196097
20160614,197680,198232,196534
20160613,200103,200179,197669
20160610,202277,202277,201415
20160609,202802,203527,201214
20160608,201372,202709,200859
20160607,199308,201167,199277
20160603,199158,199158,197966
20160602,198386,198800,197882
20160601,197687,198676,197582
20160531,196247,198418,195816
20160530,196972,197054,195549
20160527,196233,197127,195975
20160526,196581,196745,195597
20160525,195363,196491,195117
20160524,195118,195139,193767
20160523,195426,195677,194044
20160520,194384,195150,194036
20160519,195391,195429,194248
20160518,196278,196434,194556
20160517,197386,197510,196257
20160516,196191,197053,196132
20160513,197997,198045,196277
20160512,197328,198149,197054
20160511,198917,198917,197048
20160510,196586,198250,196490
20160509,197452,197614,196292
20160504,197824,198238,196922
20160503,198834,198941,197966
20160502,199184,199184,197703
20160429,199868,199934,198330
20160428,202083,202299,199860
20160427,201931,201986,201275
20160426,201326,202159,201185
20160425,201605,201665,200718
20160422,201493,201790,201094
20160421,201460,202210,200945
20160420,201705,202377,200582
20160419,201510,202029,200768
20160418,200135,200955,199849
20160415,201338,201695,200868
20160414,200415,201603,200083
20160412,197050,198173,196850
20160411,197225,197390,196321
20160408,196129,197212,195411
20160407,197875,198043,196499
20160406,196317,197509,196151
20160405,197238,197317,195926
20160404,197473,197903,196935
20160401,199477,199477,197017
20160331,200572,200743,198674
20160330,200524,200910,199851
20160329,198693,199733,198407
20160328,198493,199246,198137
20160325,199106,199106,198153
20160324,198846,199276,198117
20160323,199647,200167,198984
20160322,199337,199776,198687
20160321,199925,200312,198270
20160318,199631,199631,198604
20160317,198469,200030,198433
20160316,197158,198208,196966
20160315,197561,197946,196644
20160314,198574,198590,197056
20160311,196830,197587,196665
20160310,195887,197619,195567
20160309,194055,195295,193832
20160308,195894,195894,193555
20160307,196126,196343,195597
20160304,195601,195846,194947
20160303,195783,195817,194657
20160302,194427,194994,194224
20160229,192176,192705,191666
20160226,192710,192780,191707
20160225,191908,192849,190699
20160224,190871,191863,190619
20160223,192885,192953,190979
20160222,191156,192114,190585
20160219,190450,191624,190224
20160218,190940,191012,189849
20160217,188941,189737,188103
20160216,187010,189215,186811
20160215,185733,186462,184760
20160212,185067,185712,181797
20160211,187268,187777,185890
20160205,191455,192176,191031
20160204,190048,191709,189718
20160203,189383,189472,188275
20160202,191496,192002,190606
20160201,191962,192611,191285
20160129,190501,191207,188848
20160128,188538,190756,187778
20160127,188807,190203,188339
20160126,188187,188413,186298
20160125,189015,190122,188274
20160122,186030,187943,185954
20160121,184810,186002,183804
20160120,188536,188536,183006
20160119,187980,188990,186676
20160118,185603,188221,185455
